GGOLG;GOL;BRGOLLACNPR4;5299002CCNWVL0PVLP96;2736384;502;711868;1;1;4;Actual;Actual;Estimated;2022;4104.889975298;-3780.360743295
PPCCG;PEREZ COMPANC (Molinos Agro SA);Not available;Not available;2253510;86243;1556135;4;4;4;Estimated;Estimated;Estimated;2021;169.141944368;108.79313654
CMMOG;CEMENTOS MOLINS;ES0117360117;959800JRJW1CZ63R8P20;10729165;468578;3377433;1;2;4;Actual;Actual;Estimated;2022;310.633;1169.608
PGETG;PGE POLSKA GRUPA ENERGETYCZNA;PLPGER000010;259400MP9VXR0E69MJ89;70389145;2196976;25446697;1;2;1;Actual;Actual;Actual;2022;1907.594728;11609.302159
ELEMG;ELEMENTIA;MX01FO0N0004;549300BH08XQJ1ITLQ77;4447820;206357;616500;4;2;4;Estimated;Estimated;Estimated;2022;556.10590794;498.565110829
GPMXG;PEMEX;XS1172951508;549300CAZKPF4HKMPX17;69826147;2147567;416278844;1;2;4;Actual;Actual;Estimated;2022;102984.501734639;-85018.970891293
12X0G;AZUL  LINHAS AEREAS;BRAZULACNPR4;549300Z0MWZ57Q9RR205;3089851;316;1387911;1;1;4;Actual;Actual;Estimated;2022;4242.982922779;-3364.1944475
TTAGG;TATA GROUP;INE081A01020;335800E6C75YGSGD5T66;75341608;5167532;13397459;1;1;1;Actual;Actual;Actual;2022;8552.7892065;13254.3746874
3UNIP;UNIPER;DE000UNSE018;549300UXRTWGIBZQ4J67;56177910;655941;90028203;1;1;1;Actual;Actual;Actual;2022;11937;4385
ZAPAK;ZE PAK GROUP;PLZEPAK00012;259400T6CRXYOG6H8U09;1735226;56462;2080124;4;2;4;Estimated;Estimated;Estimated;2022;250.054587172;259.262745027
ROLLG;ROLLS ROYCE;GB00B63H8491;213800EC7997ZBLZJH69;240353;169572;89583123;1;1;4;Actual;Actual;Estimated;2022;6855.59225;-6784.544
SARAS;SARAS;IT0000433307;5299005KJSU2AQUJUH84;6104895;284128;41895541;1;1;4;Actual;Actual;Estimated;2022;600.516;1212.374
NRGGG;NRG ENERGY INC;US6293775085;5E2UPK5SW04M13XY7I38;37417583;141831;19190831;1;1;4;Actual;Actual;Estimated;2022;7775.595086;3585.278004
PARNA;ENEVA;BRENEVACNOR8;549300T1AP7HKCABII19;7549044;2113;818553;1;1;4;Actual;Actual;Estimated;2021;1251.709881756;1423.661610012
CIHCG;CIECH;PLCIECH00018;259400GYHYZPQ0HTMT82;2727094;93155;745903;1;2;4;Actual;Actual;Estimated;2022;451.58505366;577.29716863
1RIZO;GRUPO RIZO PATRON;PEP239001006;984500CF0736C6E96080;4422878;88;192909;1;1;4;Actual;Actual;Estimated;2021;880.882834856;1187.031178052
13Y0G;PAMPA ENERG?A, GR;ARP432631215;254900QNIK0CVURGML24;7795253;14640;1630094;1;1;4;Actual;Actual;Estimated;2022;1521.963625;2139.178412
ENCGG;ENEA;PLENEA000013;2594003JTXPYO8NOG018;9569165;377185;9145230;4;2;4;Estimated;Estimated;Estimated;2022;1172.828773974;3446.758753503
GCMXG;CEMEX;MXP225611567;549300RIG2CXWN6IV731;36183530;3121995;17833091;1;1;1;Actual;Actual;Actual;2022;8265.433225;10217.293037
CEYEN;CEMENTOS CHIHUAHUA;MX01GC2M0006;254900WY9XL8033CKX68;3555344;273794;1291133;1;1;4;Actual;Actual;Estimated;2022;484.975348144;1333.532352516
TARNG;TAURON GROUP;PLTAURN00011;259400NAPDFBOTNCRL54;13773702;1655163;25007657;1;2;4;Actual;Actual;Estimated;2022;3519.529351;3546.640422
DARTK;DART GROUP;GB00B1722W11;I72RQ3PNLDPW8R7JIJ56;5413479;8427;2485566;4;2;4;Estimated;Estimated;Estimated;2022;1770.79305;1011.14065
