?an2 Termik A.S.;TRECAN200011;;TURKEY
3R Petroleum Oleo e Gas SA;BRRRRPACNOR5;;BRAZIL
88 Energy Limited;AU00000088E2;;AUSTRALIA
AAG Energy Holdings Limited;KYG000371040;;HONG KONG
AB Ignitis grupe;LT0000115768;;LITHUANIA
Abraxas Petroleum Corporation;US0038303048;MZ7PUO5D10MMXGVVPY36;UNITED STATES
Absolute Clean Energy Public Company Limited;TH8906010005;;THAILAND
Abu Dhabi National Energy Company PJSC;AEA002401015;213800UNJSVQFNUYYW03;UNITED ARAB EMIRATES
ACWA POWER Company;SA15CGS10H12;;SAUDI ARABIA
Adani Enterprises Limited;INE423A01024;335800OTN96B3M38HC30;INDIA
Adani Power Limited;INE814H01011;33580074T4XKFXBDG813;INDIA
Adani Total Gas Limited;INE399L01023;335800XLXJ32DBM6H567;INDIA
ADNOC Drilling Company P.J.S.C.;AEA007301012;;UNITED ARAB EMIRATES
Advanced Petrochemical Company;SA000A0LE310;;SAUDI ARABIA
Advantage Energy Ltd.;CA00791P1071;549300WK5YRPOB2DTT64;CANADA
Aenza S.A.A.;PEP736581005;;PERU
AES Andes S.A.;CL0002694637;549300IF4IFG0FS0RM26;CHILE
African Rainbow Minerals Limited;ZAE000054045;529900L3TPSCK8ZVZ589;SOUTH AFRICA
Afrimat Limited;ZAE000086302;;SOUTH AFRICA
AJ Lucas Group Limited;AU000000AJL1;549300KN26ILGEGJM323;AUSTRALIA
Aker Solutions ASA;NO0010716582;5967007LIEEXZXG42836;NORWAY
Aksa Enerji Uretim AS;TREAKSN00011;789000KQC5JTW1S3JG98;TURKEY
Albioma;FR0000060402;9695002W8GRJRZ44MA62;FRANCE
Alexandria Mineral Oils Company;EGS380P1C010;213800ZVQ7RT74VIA832;EGYPT
Allegiance Coal Limited;AU000000AHQ4;;AUSTRALIA
ALLETE, Inc.;US0185223007;549300NNLSIMY6Z8OT86;UNITED STATES
Alpha Metallurgical Resources, Inc.;US0207641061;;UNITED STATES
AltaGas Ltd.;CA0213611001;549300D7A8QA85Z2MH11;CANADA
Alujain Corporation;SA0007879345;;SAUDI ARABIA
American Resources Corporation;US02927U2087;;UNITED STATES
Amplify Energy Corp.;US03212B1035;5493004I7HNFR19BUZ55;UNITED STATES
Ampol Limited;AU0000088338;5493009TD1CGVRZ27U11;AUSTRALIA
Anhui Hengyuan Coal Industry and Electricity Power Co.,Ltd;CNE000001KT3;;CHINA
Antero Midstream Corporation;US03676B1026;;UNITED STATES
Antero Resources Corporation;US03674X1063;;UNITED STATES
Anton Oilfield Services Group;KYG039991024;30030021ZM71H1GIKX11;CHINA
Anyuan Coal Industry Group Co., Ltd.;CNE000001BR6;;CHINA
APA Corporation;US03743Q1085;72ZZ1XRHOOU9P9X16K08;UNITED STATES
APA Group;AU000000APA1;549300T9RBSX164T8H40;AUSTRALIA
Apex Investment PSC;AER000401011;;UNITED ARAB EMIRATES
ARC Resources Ltd.;CA00208D4084;FIR47I6FEYKYNJBYW622;CANADA
Arch Resources, Inc.;US03940R1077;W47HVZ7Q6FXL86RELH91;UNITED STATES
Archaea Energy Inc.;US03940F1030;;UNITED STATES
Archer Limited;BMG0451H2087;549300D1D5TS4O1V4923;BERMUDA
Archrock, Inc.;US03957W1062;549300K3RIHMHDVFTL28;UNITED STATES
Ardova Plc;NGAP00000004;0292005445B7TF1H9540;NIGERIA
Ascopiave S.p.A.;IT0004093263;;ITALY
Astec Industries, Inc.;US0462241011;;UNITED STATES
ATCO Ltd.;CA0467894006;5299005SPZ1QYL51JD25;CANADA
Athabasca Oil Corporation;CA04682R1073;549300STK2KBVO6WED71;CANADA
Atmos Energy Corporation;US0495601058;QVLWEGTD2S8GJMO8D383;UNITED STATES
Attock Petroleum Limited;PK0082901015;;PAKISTAN
Attock Refinery Limited;PK0024501014;;PAKISTAN
AusNet Pty Ltd;AU000000AST5;;AUSTRALIA
Avista Corporation;US05379B1070;Q0IK63NITJD6RJ47SW96;UNITED STATES
Aygaz A.S.;TRAAYGAZ91E0;7890000PALXE0100Q814;TURKEY
B.Grimm Power Public Company Limited;TH7545010004;9845006CC45C6B3BD577;THAILAND
Baker Hughes Company;US05722G1004;;UNITED STATES
Balmer Lawrie & Co. Ltd.;INE164A01016;3358003SURMYLPZHV529;INDIA
Bangchak Corporation Public Company Limited;TH0420010Y01;254900M7L6ML94L1YX58;THAILAND
Bangchak Sriracha Public Company Limited;TH0975010008;529900B0FJ7G35MF2S50;THAILAND
Bangkok Aviation Fuel Services Public Company Limited;TH0669010Z02;;THAILAND
Banpu Power Public Company Limited;TH7462010003;;THAILAND
Banpu Public Company Limited;TH0148A10Z06;529900AJ2Z6SUR6TSW75;THAILAND
Baotailong New Materials Co., Ltd.;CNE100001112;;CHINA
BASF India Limited;INE373A01013;;INDIA
Bathurst Resources Limited;NZBRLE0001S4;254900H5WZ9DXLTBKY38;NEW ZEALAND
Battalion Oil Corporation;US07134L1070;3XHTN2NNIMMPORDAMJ28;UNITED STATES
BAUER Aktiengesellschaft;DE0005168108;;GERMANY
Baytex Energy Corp.;CA07317Q1054;549300R5LTV2H7I1I079;CANADA
Beach Energy Limited;AU000000BPT9;;AUSTRALIA
Beijing Gas Blue Sky Holdings Limited;BMG095871098;549300D9WFI6G10MLL93;HONG KONG
Beijing Haixin Energy Technology Co.,Ltd.;CNE100000NP6;;CHINA
Beijing Haohua Energy Resource Co., Ltd.;CNE100000N12;;CHINA
Beijing Jingneng Clean Energy Co., Limited;CNE100001336;300300V2LM8I1L2JUP40;CHINA
