ADNOC;XS2348411062;5493009O1JMLWDLTIC26;ADNOC
Air Products and Chemicals, Inc.;US0091581068;7QEON6Y1RL5XR3R1W237;AIRPG
Akastor ASA;NO0010215684;5967007LIEEXZXIX5468;AKKVG
Aker BP ASA;NO0010345853;549300NFTY73920OYK69;DTNRG
Aluminum Corporation of China Limited;CNE1000001T8;529900TKZUWQLIQN6T48;AMNHG
Anglo American Plc;GB00B1XZS820;549300S9XF92D1X8ME43;5AG1G
BASF SE;DE000BASF111;529900PM64WH8AF1E917;BASFG
Beijing Enterprises Holdings Limited;HK0392044647;529900896ODARUEY2V26;WPD0K
BHP Group Limited;AU000000BHP4;WZE1WSENV6JSZFK0JC28;BBLOG
BP p.l.c.;GB0007980591;213800LH1BZH3DI6G760;BRPHG
Braskem S.A.;BRBRKMACNPA4;549300RPMQUFGBB7EY44;5SKMG
Brookfield Infrastructure Partners L.P.;BMG162521014;549300WEH5R2OODI7Y90;BPLPR
CEPSA;ES0132580004;549300E1NH9FOTLIFI22;5CEPS
CEZ, a. s.;CZ0005112300;529900S5R9YHJHYKKG94;CEZGR
CGC (COMPANIA GENERAL DE COMBUSTIBLES);USP3063DAB84;529900ZYULFIPN299C35;CGCCC
Cheniere Energy, Inc.;US16411R2085;MIHC87W9WTYSYZWV1J40;CHENI
Chevron Corporation;US1667641005;;5CVRG
CHINA NATIONAL PETROLEUM COMPANY;CND100032S51;3003004HNTGCYVG6A618;NNPPG
Chord Energy Corporation;US6742152076;529900FA4V2YNIKZ0M71;OASGX
Clariant AG;CH0012142631;529900VSEKBY7TMPP349;0OG0G
CNOOC Limited;HK0883013259;549300XIVJCBIGMRUD48;0600G
Companhia Paranaense de Energia - COPEL;BRCPLEACNPB9;2549001AS1I9A71VG663;5OLPG
ConocoPhillips;US20825C1045;WPTL2Z3FIYTHSP5V2253;1610G
Cosan S.A.;BRCSANACNOR6;549300PGFCX2JMKKLC96;06X0G
Delta Air Lines, Inc.;US2473617023;Q2CCMS6R0AS67HJMBN42;DELTA
EBX;;;MMXXG
Ecopetrol S.A.;COC04PA00016;254900IDGKCJICKBPA66;ECOPG
Empresa de Energia de Bogota S.A. E.S.P.;COE01PA00026;529900LG618OWYVHI655;5EMGG
Enagas SA;ES0130960018;213800OU3FQKGM4M2U23;5ENGD
ENAP (EMPRESA NACIONAL DEL PETROLEO);USP37110AJ50;549300YP3P0JZBLIV197;ENAPG
Enbridge Inc.;CA29250N1050;98TPTUM4IVMFCZBCUR27;ENBRI
Enea S.A.;PLENEA000013;2594003JTXPYO8NOG018;ENCGG
Eneva S.A.;BRENEVACNOR8;549300T1AP7HKCABII19;PARNA
Eni S.p.A.;IT0003132476;BUCRF72VH5RBN7X3VL35;ENIGG
ENN Energy Holdings Limited;KYG3066L1014;549300V7BXPWT6WIPR03;ENNIG
EQT Corporation;US26884L1098;4NT01YGM4X7ZX86ISY52;EQTAG
Equinor ASA;NO0010096985;OW6OFBNCKXC4US5C7523;0L20G
Exxon Mobil Corporation;US30231G1022;J3WHBG0MTS7O8ZVMDC91;5XXCG
FLSmidth & Co. A/S;DK0010234467;213800MXXDGQ3ITPXI41;FLSMG
Galp Energia, SGPS, S.A.;PTGAL0AM0009;2138003319Y7NM75FG53;GALPG
GeoPark Limited;BMG383271050;529900ZR5QI19AH4KZ07;GEOPG
Glencore Plc;JE00B4T3BW64;2138002658CPO9NBH955;GLENG
Grenevia S.A.;PLFAMUR00012;259400Q26AYHUOTZL108;FANRG
Grupa LOTOS S.A.;PLLOTOS00025;;LOTOS
Grupo Argos S.A.;COT09PA00035;254900HANAO95XIAE681;CEMEG
Grupo Carso, S.A.B. de C.V.;MXP461181085;;GRCAG
Halliburton Company;US4062161017;ENYF8GB5SMQZ25S06U51;HALLG
Hera S.p.A.;IT0001250932;8156009414FD99443B48;HERSG
Kinder Morgan, Inc.;US49456B1017;549300WR7IX8XE0TBO16;KINMO
KUWAIT PETROLEUM CORPORATION;KW0IN0000200;7245008PMXAWHZBW0Y93;KWPCG
LG Chem, Ltd.;KR7051910008;988400IES4EIG7O06940;LGCHG
Linde plc;IE000S9YS762;ZU69GUVJQGZ6Z1UOOO79;PRXGG
Lotte Chemical Corporation;KR7011170008;988400TPNFJZDPI94Y56;LTTCG
LyondellBasell Industries N.V.;NL0009434992;BN6WCCZ8OVP3ITUUVN49;LYKNG
Mitsui & Co., Ltd.;JP3893600001;2NRSB4GOU9DD6CNW5R48;5MTPG
National Grid PLC;GB00BDR05C01;8R95QZMKZLJX5Q2XR704;5NGRG
Naturgy Energy Group, S.A.;ES0116870314;TL2N6M87CW970S5SV098;5GNSG
Neste Oyj;FI0009013296;5493009GY1X8GQ66AM14;NEOIG
NOV Inc.;US62955J1034;549300EHF3IW1AR6U008;NOIVK
Orlen S.A.;PLPKN0000018;259400VVMM70CQREJT74;PKNOK
Pampa Energia S.A.;ARP432631215;254900QNIK0CVURGML24;13Y0G
PEMEX;XS1172951508;549300CAZKPF4HKMPX17;GPMXG
PERTAMINA PERSERO PT;;254900NDAKGNZ2IBBL45;PERTO
Petrobras SA;BRPETRACNPR6;5493000J801JZRCMFE49;PTROG
Petrofac Limited;GB00B0H2K534;2138004624W8CKCSJ177;0RG0G
PETRONAS GROUP;MYL6033OO004;5493003RZQYJM7QGNE15;5HDQG
PGE Polska Grupa Energetyczna S.A.;PLPGER000010;259400MP9VXR0E69MJ89;PGETG
Phillips 66;US7185461040;5493005JBO5YSIGK1814;PHLIG
PLUSPETROL;PEP75470M021;25490032S8BZZ8RKAU87;PLPHG
Polskie Gornictwo Naftowe;PLPGNIG00014;2594008YSYXYOTBSQL93;PGNIG
PREMIER OIL;GB00BMBVGQ36;213800YPC42DYBKVPF97;PREOG
PTT Public Company Limited;TH0646010Z00;549300QOGMPTKB6W7G56;PTTGR
Reliance Industries Limited;INE002A01018;5493003UOETFYRONLG31;01I0G
Repsol, S.A.;ES0173516115;BSYCX13Y0NOTV14V9N85;REPOG
Samsung Engineering Co., Ltd.;KR7028050003;988400HDAY5KIVHGZ188;SV4KK
Saras S.p.A.;IT0000433307;5299005KJSU2AQUJUH84;SARAS
SAUDI ARABIAN OIL COMPANY;SA14TG012N13;5586006WD91QHB7J4X50;SAUDG
Saudi Basic Industries Corporation;SA0007879121;;SABIG
Saudi Electricity Company;SA0007879550;549300FXO4ZXUIAXGP41;S4DMG
SBM Offshore N.V.;NL0000360618;549300RDGCRYZ5QE6513;SBMEJ
Schlumberger Limited;AN8068571086;213800ZUA17OK3QLGM62;SCLHG
