0010_row_nmbr;0011_tab_origin;0020_uniq_id_knwn_cntrprty;0030_cntrprty_rsltn_grp;0040_cntrprty_nm;0050_cntrprty_lei;0060_typ_cntrprty_id;0070_cntrprty_id;0080_cntrprty_typ;0090_cntry_cntrprty;0100_rlvnt_amnt_wdc;ckutulmo;htimest;ref_date;cod_visao
1;B0200;PTBSRDOM0037;"";"";"";LEI;0000003686;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
2;B0200;PTBSREOM0028;"";"";"";LEI;Not applicable;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
3;B0200;PTCPP0AM0007;"";"";"";LEI;5100011001;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
4;B0200;PTCPP0AM0007;"";"";"";LEI;Not applicable;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
5;B0200;PTCPP0AM0007;"";"";"";LEI;0000003686;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
6;B0200;PTSTOCOM0007;"";"";"";LEI;0000003686;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
7;B0200;PTSTOEOM0021;"";"";"";LEI;0000003686;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
8;B0200;PTSTOFOM0004;"";"";"";LEI;0000003686;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
9;B0200;PTSTOGOM0003;"";"";"";LEI;0000003686;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
10;B0200;PTSTOHOM0002;"";"";"";LEI;0000003686;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
11;B0500;31000000000000000962304890482490P_0000_00000000000_000006511000505;"";"";"";LEI;6511000505;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
12;B0500;31000304140330096000000000000000P_0000_00000000000_000000000003686;"";"";"";LEI;0000003686;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
13;B0500;31000307044893096000000000000000P_0000_00000000000_000000000003686;"";"";"";LEI;0000003686;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
14;B0500;31000307530917096000000000000000P_0000_00000000000_000000000003686;"";"";"";LEI;0000003686;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
15;B0500;31000311450813096000000000000000P_0000_00000000000_000000000003686;"";"";"";LEI;0000003686;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
16;B0500;31000311847794096000000000000000P_0000_00000000000_000000000003686;"";"";"";LEI;0000003686;"";"";"";servdlakep;2025-11-12 11:52:05.298;2025-10-31;1
