unique_trade_id;counterparty_id;counterparty_type_id;counterparty_country;base_product;product_id;governing_law;contract_recogn_write_down;contract_recogn_suspension;contract_recogn_resolution;collateral_portfolio;collateral_posted;collateral_posted_currency;collateral_received;collateral_received_currency;leg_1_cash_flow;leg_2_cash_flow;leg_1_reference_rate;leg_2_reference_rate;leg_1_reference_period;leg_2_reference_period;premium;netting_agreement;carrying_amount;accounting_standard;accounting_classification;hierarchy;hedge_id;total_risk_exposure_amount
0000452AMARKITWIRE111428623;959800DQQUAMV0K08004;Legal Entity Identifier;ES;IR Swap (2.1);IRD|IRS|;ES;NO;NO;NO;YES;-6230000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;EURIBOR3M;N/A;3 month;0.0000;CMOF-ZQMX-BSTE;451471.0000;IFRS;trading book;Level 2;N/A;338.6234
0000452AMARKITWIRE111664266;213800ZCPY5ZNSY5I637;Legal Entity Identifier;GB;IR Swap (2.1);IRD|IRS|;GB;YES;NO;NO;YES;-3563654.9639;GBP;11111111111.0000;N/A;N/A;N/A;N/A;GBP CALL M COMP;N/A;1 month;0.0000;2002-1NB5-BSTE;283284.0000;IFRS;trading book;Level 2;N/A;50.9710
0000452AMARKITWIRE118019832;259400LGXW3K0GDAG361;Legal Entity Identifier;PL;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;YES;-150100000.0000;EUR;11111111111.0000;N/A;N/A;N/A;N/A;PLNWIBOR;N/A;6 month;0.0000;1992-1WBK-BSTE;1443651.0000;IFRS;trading book;Level 2;N/A;0.0000
0000452AMARKITWIRE181287756;SCRYQ25DTVRHYYMM6P89;Legal Entity Identifier;MX;IR Swap (2.1);IRD|IRS|;US;YES;YES;YES;YES;-592524689.3163;USD;11111111111.0000;N/A;N/A;N/A;N/A;MXNTIIE_28D;N/A;28 day;0.0000;1992-BMSY-BSTE;754747.0000;IFRS;trading book;Level 2;N/A;0.0000
0000452AMARKITWIRE186352931;SCRYQ25DTVRHYYMM6P89;Legal Entity Identifier;MX;IR Swap (2.1);IRD|IRS|;US;YES;YES;YES;YES;-592524689.3163;USD;11111111111.0000;N/A;N/A;N/A;N/A;MXNTIIE_28D;N/A;28 day;0.0000;1992-BMSY-BSTE;1959718.0000;IFRS;trading book;Level 2;N/A;0.0000
0000452AMARKITWIRE187472200;SCRYQ25DTVRHYYMM6P89;Legal Entity Identifier;MX;Cross Currency (2.4);IRD|CS|;ES;YES;YES;YES;YES;-592524689.3163;USD;11111111111.0000;N/A;N/A;N/A;USD SOFR COMP;MXNTIIE28D;28 day;28 day;0.0000;1992-BMSY-BSTE;650165.0000;IFRS;trading book;Level 3;N/A;0.0000
0000452AMARKITWIRE82060742;5299004GLEUX88BSNB74;Legal Entity Identifier;DE;IR Swap (2.1);IRD|IRS|;ES;YES;NO;NO;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;EURIBOR3M;N/A;3 month;0.0000;1992-VLGO-BSTE;10790008.0000;IFRS;trading book;Level 2;N/A;3995394.0661
004918320010531130500;B60181518;Other identifier type;MISS;MISS;MISS;ES;YES;YES;YES;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;99999999999.0000;N/A;1070.0000;IFRS;trading book;Level 2;N/A;3955.8381
004918360010536621500;B28866267;Other identifier type;MISS;MISS;MISS;ES;YES;YES;YES;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;99999999999.0000;N/A;-3068.0000;IFRS;trading book;Level 2;N/A;0.0000
004918660010531055500;A34174979;Other identifier type;MISS;MISS;MISS;ES;YES;YES;YES;NO;11111111111.0000;N/A;11111111111.0000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;99999999999.0000;N/A;7664.0000;IFRS;trading book;Level 2;N/A;7269.8800
