financial_contract_id;isin;issuer_id;type_issuer_id;country_issuer;issuer_esa_2010;issuer_nace_sector;issuer_ratings;issuer_ratings_sources;type_issuer;currency_value;val_timestamp;val_type;dividend_yield;part_lcr_buffer;accounting_classification;prudential_portfolio;total_risk_exposure_amount
00491999408BBBPKNG;LU0156801721;549300Y7C05BKC4HZB40;Legal Entity Identifier;LU;MISS;Manufacture of tubes, pipes, hollow profiles and related fittings, of steel;NR, NR, NR;S&P, Moodys, Fitch;Third party;EUR;30/09/2023;Mark-to-Market;0.0000;Yes;IFRS: Financial assets held for trading;MISS;99999999999.000000
004954924866667514;ES0143421073;959800DFMSYQLT3P0W53;Legal Entity Identifier;ES;Non-financial corporations;Other business support service activities n.e.c.;MISS;N/A;Third party;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;99999999999.000000
004969354866667173;PLBZ00000044;960005673;Other identifier type;PL;MISS;MISS;MISS;N/A;Other group entity;PLN;30/09/2023;Mark-to-Model;99999999999.0000;No;Investments in subsidiaries, joint ventures and associates;MISS;4360089741.000000
00491999408BBBNVZL;US4781601046;549300G0CFPGEF6X2043;Legal Entity Identifier;US;MISS;Manufacture of basic pharmaceutical products;AAA, Aaa, NR;S&P, Moodys, Fitch;Third party;USD;30/09/2023;Mark-to-Market;0.0000;Yes;IFRS: Financial assets held for trading;MISS;99999999999.000000
00491999408BBBSJJR;US5951121038;B3DXGBC8GAIYWI2Z0172;Legal Entity Identifier;US;MISS;Manufacture of electronic components;BBB-, Baa3, BBB;S&P, Moodys, Fitch;Third party;USD;30/09/2023;Mark-to-Market;0.0000;Yes;IFRS: Financial assets held for trading;MISS;99999999999.000000
004954924866666195;ES0198508014;A06154595;Other identifier type;ES;Non-financial corporations;Public relations and communication activities;MISS;N/A;Third party;EUR;30/09/2023;Mark-to-Model;99999999999.0000;No;IFRS: Financial assets at fair value through other comprehensive income;MISS;636714.500000
00491999408BBBRVVD;GB00B033F229;E26EDV109X6EEPBKVH76;Legal Entity Identifier;GB;MISS;Distribution of gaseous fuels through mains;BBB, Baa2, NR;S&P, Moodys, Fitch;Third party;GBP;30/09/2023;Mark-to-Market;0.0000;Yes;IFRS: Financial assets held for trading;MISS;99999999999.000000
00491999408BBBPKLB;FR0000130395;5493004V6A3Z027YT216;Legal Entity Identifier;FR;MISS;Distilling, rectifying and blending of spirits;NR, Baa3, NR;S&P, Moodys, Fitch;Third party;EUR;30/09/2023;Mark-to-Market;0.0000;Yes;IFRS: Financial assets held for trading;MISS;99999999999.000000
004954924866667798;ES0113605002;V85932945;Other identifier type;ES;MISS;MISS;MISS;N/A;Third party;EUR;30/09/2023;Mark-to-Market;99999999999.0000;No;IFRS: Non-trading financial assets mandatorily at fair value through profit or loss;MISS;557748.750000
00491999408BBBPKMR;IT0004776628;7LVZJ6XRIE7VNZ4UBX81;Legal Entity Identifier;IT;MISS;Other monetary intermediation;BBB, NR, BBB;S&P, Moodys, Fitch;Third party;EUR;30/09/2023;Mark-to-Market;0.0000;No;IFRS: Financial assets held for trading;MISS;99999999999.000000
00491999408BBBRNFQ;US88160R1014;54930043XZGB27CTOV49;Legal Entity Identifier;US;MISS;Sale of cars and light motor vehicles;BBB, Baa3, NR;S&P, Moodys, Fitch;Third party;USD;30/09/2023;Mark-to-Market;0.0000;Yes;IFRS: Financial assets held for trading;MISS;99999999999.000000
004969444865552702;LU0006098676;549300AR6T2G715O3M04;Legal Entity Identifier;LU;MISS;MISS;NR, NR, NR;S&P, Moodys, Fitch;Third party;EUR;30/09/2023;Mark-to-Market;99999999999.0000;No;IFRS: Non-trading financial assets mandatorily at fair value through profit or loss;MISS;23129203.200000
00491999408BBBPKRM;NL0014332678;724500EHG519SE5ZRT89;Legal Entity Identifier;NL;MISS;Activities of holding companies;BBB-, Baa3, BBB;S&P, Moodys, Fitch;Third party;EUR;30/09/2023;Mark-to-Market;0.0000;No;IFRS: Financial assets held for trading;MISS;99999999999.000000
00491999408BBBPJRB;DE0008232125;529900PH63HYJ86ASW55;Legal Entity Identifier;DE;MISS;Passenger air transport;BB+, Ba1, NR;S&P, Moodys, Fitch;Third party;EUR;30/09/2023;Mark-to-Market;0.0000;Yes;IFRS: Financial assets held for trading;MISS;99999999999.000000
00491999408BBBXDJM;GB00B53P2009;5493003DJ1G01IMQ7S28;Legal Entity Identifier;GB;MISS;Trusts, funds and similar financial entities;NR, NR, BBB;S&P, Moodys, Fitch;Third party;GBP;30/09/2023;MISS;0.0000;No;IFRS: Financial assets held for trading;MISS;99999999999.000000
00491999408BBBVDFJ;LU1598757687;2EULGUTUI56JI9SAL165;Legal Entity Identifier;LU;MISS;MISS;BBB-, Baa3, NR;S&P, Moodys, Fitch;Third party;EUR;30/09/2023;Mark-to-Market;0.0000;Yes;IFRS: Financial assets held for trading;MISS;99999999999.000000
00491999408BBBVDFG;LU1598757687;2EULGUTUI56JI9SAL165;Legal Entity Identifier;LU;MISS;MISS;BBB-, Baa3, NR;S&P, Moodys, Fitch;Third party;EUR;30/09/2023;Mark-to-Market;0.0000;Yes;IFRS: Financial assets held for trading;MISS;99999999999.000000
00491999408BBBTMSR;LU1598757687;2EULGUTUI56JI9SAL165;Legal Entity Identifier;LU;MISS;Manufacture of basic iron and steel and of ferro-alloys;BBB-, Baa3, NR;S&P, Moodys, Fitch;Third party;EUR;30/09/2023;Mark-to-Market;0.0000;Yes;IFRS: Financial assets held for trading;MISS;99999999999.000000
00491999408BBBPKJS;NL0015435975;213800ED5AN2J56N6Z02;Legal Entity Identifier;IT;MISS;Manufacture of beer;NR, NR, NR;S&P, Moodys, Fitch;Third party;EUR;30/09/2023;Mark-to-Market;0.0000;Yes;IFRS: Financial assets held for trading;MISS;99999999999.000000
00491999408BBBPHKK;GB0005405286;MLU0ZO3ML4LN2LL2TL39;Legal Entity Identifier;GB;MISS;Other monetary intermediation;A-, A3, A+;S&P, Moodys, Fitch;Third party;GBP;30/09/2023;Mark-to-Market;0.0000;No;IFRS: Financial assets held for trading;MISS;99999999999.000000
