asset_id;intangible_asset_class;acquisition_capitalisation_date;initial_fair_value;cumulative_amortisation;impairment_amount;current_carrying_amount;Currency;original_accounting_life;remaining_economic_life;approach_det_carrying_amount;val_timestamp;internal_external_latest_val
4177691;Unpatented software and technology;01/08/2015;58 529,43;-58 529,43;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002087;Unpatented software and technology;01/01/2019;3 503,19;-3 503,19;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002085;Unpatented software and technology;01/01/2019;7 514,07;-7 514,07;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002082;Unpatented software and technology;01/01/2019;3 655,50;-3 655,50;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002078;Unpatented software and technology;01/01/2019;3 503,19;-3 503,19;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002076;Unpatented software and technology;01/01/2019;3 757,04;-3 757,04;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002051;Unpatented software and technology;01/01/2019;8 142,02;-8 142,02;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002070;Unpatented software and technology;01/01/2019;24 750,17;-24 750,17;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002091;Unpatented software and technology;01/01/2019;249 362,00;-249 362,00;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002067;Unpatented software and technology;01/01/2019;19 700,71;-19 700,71;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500001792;Unpatented software and technology;01/01/2019;6 962,21;-6 962,21;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500003650;Unpatented software and technology;01/01/2019;9 918,59;-9 918,59;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002464;Unpatented software and technology;01/01/2019;30 211,19;-30 211,19;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002540;Unpatented software and technology;01/01/2019;21 329,84;-21 329,84;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002542;Unpatented software and technology;01/01/2019;244,77;-244,77;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002073;Unpatented software and technology;01/01/2019;55 036,60;-55 036,60;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500003177;Unpatented software and technology;01/01/2019;18 016,74;-18 016,74;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002693;Unpatented software and technology;01/01/2019;107 228,00;-107 228,00;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002367;Unpatented software and technology;01/01/2019;99 761,65;-99 761,65;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002371;Unpatented software and technology;01/01/2019;37 355,82;-37 355,82;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002372;Unpatented software and technology;01/01/2019;12 842,99;-12 842,99;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
221500002373;Unpatented software and technology;01/01/2019;852,95;-852,95;0;0;EUR;3;0,00;Cost model (i.e. value equals cost minus depreciation);30/06/2024;Internal
