Código Altamira;Short Name;Código Sigom;Nome;Report Ref;Tipo;Data;Tipo Operativa;Lei Aplicavel;
7400414968;C3MK;09299;GLORIOUS GYM SOCIEDADE UNIPESSOAL LDA;C3MK;Contrato Quadro;29-07-2008;Derivados;PRT;
5100533458;ER70;18165;EUROSSINTEL-SOCIEDADE INDUSTRIAL DE TEXTEIS, S.A.;CQ_BSP_ER70;Contrato Quadro;26-04-2010;Derivados;PRT;
7400203513;D6JG;09056;CONFECCOES SUSISPORT - VESTUARIO DESPORTIVO, UNIPESSOAL LDA;D6JG;Contrato Quadro;27-06-2008;Derivados;PRT;
8000043139;E1DE;09074;EDITORIAL VERBO,SA;E1DE;Contrato Quadro;16-09-2008;Derivados;PRT;
72102;M2MV;18167;MILAGAIA & FILHOS LDA .;CQ_BSP_M2MV;Contrato Quadro;21-04-2010;Derivados;PRT;
8046589619;V0JD;09359;V.M.MARTA PROMOCAO IMOBILIARIA,LDA;CQ_BSP_V0JD;Contrato Quadro;15-07-2008;Derivados;PRT;
1700011253;D7FP;09856;MALOFER II, S.A.;CQ_BSP_D7FP;Contrato Quadro;26-09-2008;Derivados;PRT;
7400338939;BY8D;18291;A ESTACAO - MADEIRAS NORTE, UNIPESSOAL LDA;CQ_BSP_BY8D;Contrato Quadro;04-06-2010;Derivados;PRT;
7400094336;TCRX;09887;TECNIVAP COMERCIO MAQUINAS INDUSTRIA TEXTIL LDA;CQ_BSP_TCRX;Contrato Quadro;13-10-2008;Derivados;PRT;
8041718083;O5VZ;09893;MANUEL MOREIRA & CA.,LDA;CQ_BSP_O5VZ;Contrato Quadro;08-09-2008;Derivados;PRT;
8042137598;O63M;10104;MANUEL LOURENCO & FILHO,LDA;CQ_BSP_O63M;Contrato Quadro;09-09-2008;Derivados;PRT;
17995;G1ZS;03939;GRISA - GESTAO IMOBILIARIA E INDUSTRIAL S.A.;G1ZS;Contrato Quadro;09-07-2008;Derivados;PRT;
7400305717;PUL7;10113;POPOIMA UNIPESSOAL LDA;CQ_BSP_PUL7;Contrato Quadro;19-09-2008;Derivados;PRT;
7400350424;L0BN;07855;LEVE - INVESTIMENTO IMOBILIARIO, LDA;L0BN;Contrato Quadro;10-04-2008;Derivados;PRT;
7400313516;D7HC;09898;CORDEIROVENDING - SERVICOS DE VENDING, LDA;CQ_BSP_D7HC;Contrato Quadro;26-09-2008;Derivados;PRT;
1700177593;O61X;10087;MARIA DO CEU DA SILVA PEREIRA, UNIPESSOAL, LDA;CQ_BSP_O61X;Contrato Quadro;25-11-2008;Derivados;PRT;
7400167479;G64A;09480;GRANIAREIAS - GRANITOS E AREIAS LDA;CQ_BSP_G64A;Contrato Quadro;26-09-2008;Derivados;PRT;
7400110896;O43L;09065;MACLE S.A.;CQ_BSP_O43L;Contrato Quadro;04-07-2008;Derivados;PRT;
1511062408;A3VH;08985;ALVES & MONTEIRO, LDA;A3VH;Contrato Quadro;18-06-2008;Derivados;PRT;
7400452174;G649;09466;GRADILADO S.A.;CQ_BSP_G649;Contrato Quadro;18-09-2008;Derivados;PRT;
8046411418;FL1L;09623;FARMACIA LOUREIRO, LDA;CQ_BSP_FL1L;Contrato Quadro;30-07-2008;Derivados;PRT;
61447;M2NR;18370;MACEDO,FERREIRA & CA LDA;CQ_BSP_M2NR;Contrato Quadro;13-05-2010;Derivados;PRT;
8046574230;O4LU;09310;MARIA CARMO LOURENCO;O4LU;Contrato Quadro;10-11-2009;Derivados;PRT;
7400466475;SP35;09953;SERVIBOX ACONDICIONAMENTO LDA;CQ_BSP_SP35;Contrato Quadro;02-09-2008;Derivados;PRT;
7400214929;BXT1;18067;AESTHETICAL CONCEPT, LDA;CQ_BSP_BXT1;Contrato Quadro;07-05-2010;Derivados;PRT;
8002165297;BYF5;18338;ARTECOURO-ARTESANATO COURO,LDA;CQ_BSP_BYF5;Contrato Quadro;29-04-2010;Derivados;PRT;
8001331785;IH02;01482;INTERLUSA - MANFRED H. MULLER & C. , LDA;IH02;Contrato Quadro;16-09-2008;Derivados;PRT;
7400457193;DQPO;17569;CONSTRUBRACARA-CONSTRUCOES LDA;CQ_BSP_DQPO;Contrato Quadro;02-03-2010;Derivados;PRT;
2071007912;S46I;17566;RB MOTOR - COMERCIO AUTOMOVEL S.A.;CQ_BSP_S46I;Contrato Quadro;04-03-2010;Derivados;PRT;
7400190264;S2JR;09228;SOCIEDADE CONSTRUCOES DUARTE & SOARES, LDA;S2JR;Contrato Quadro;30-06-2008;Derivados;PRT;
8044610570;A3ZN;09733;ATILANO & FILHOS - COMERCIO DE TEXTEIS LDA;A3ZN;Contrato Quadro;27-01-2017;Derivados;PRT;
21557;P1NW;18032;PROGELCONE COMERCIO E INDUSTRIA S.A.;CQ_BSP_P1NW;Contrato Quadro;22-04-2010;Derivados;PRT;
7400185352;O4SQ;09450;MJF TEMPUS EMPRESA TRABALHO TEMPORARIO LDA;CQ_BSP_O4SQ;Contrato Quadro;23-09-2008;Derivados;PRT;
9001337785;D7BE;09758;COSTA SIMAO CONSTRUCOES LDA;D7BE;Contrato Quadro;10-09-2008;Derivados;PRT;
8024233627;DUF9;18339;CARPINTARIA RODRIGUES & LAGES,LDA;CQ_BSP_DUF9;Contrato Quadro;10-05-2010;Derivados;PRT;
9000619715;F90V;17991;FIALHO & IRMAO,LDA;CQ_BSP_F90V;Contrato Quadro;10-05-2010;Derivados;PRT;
7400403016;D8TF;12033;DIAS & GUARDA LDA;D8TF;Contrato Quadro;16-12-2008;Derivados;PRT;
8036382750;IR35;11916;IMPORCOMERCIO-IMPORTACAO,COMERCIO REPRESENTACOES,LDA;CQ_BSP_IR35;Contrato Quadro;16-01-2009;Derivados;PRT;
9000646806;J0E3;18376;J. MASCARENHAS, LDA;CQ_BSP_J0E3;Contrato Quadro;07-05-2010;Derivados;PRT;
3391002586;BD8V;09224;ANA ISABEL RAMOS ALVES;BD8V;Contrato Quadro;22-07-2008;Derivados;PRT;
