DATA CRIAÇÃO;NÚMERO MM;OPER;TIPO;TIPO DE EMISSÃO;MOEDA;MONTANTE;VALOR BALANÇO;DATA INÍCIO;DATA FIM;CÓDIGO ACTIVO;NOME ACTIVO;ISIN;SECTOR INSTITUICIONAL;CONTA;TOTAL;DATA CONTABIL.;TAXA JURO;TOTAL MM;JURO CORRIDO;CÓDIGO PROGRAMA;BALCÃO;NIF CLIENTE;CONTA 074;TIPO TAXA;TAXA INTERVENÇÃO;SPREAD;INDEXANTE;VALOR INDEXANTE;ALTAMIRA;PRODUTO;SUBPRODUTO
21/03/2024;642847;Empréstimo;Papel Comercial;Prémio;EUR;2000000;2000000;25/03/2024;24/03/2025;PC0975_0002;Aquinos 2023 - 2ª Emissão;PTAQ2IJM0001;1312000;AQUINOS S.A.//;2104184.89;21/03/2024;5.152;2104184.89;96743.11;PC0975;6586;501789227;"	";Taxa Variável;5.152;1.25;EURIBOR6M0;3.902;9001451030;113;EMP
21/03/2024;642848;Empréstimo;Papel Comercial;Prémio;EUR;1500000;1000000;25/03/2024;24/03/2025;PC0978_0002;Balbino & Faustino 2023 - 2ª Emissão;PTB24GJM0010;1312000;BALBINO & FAUSTINO, LDA//;1050403.89;21/03/2024;4.985;1050403.89;46803.61;PC0978;6594;501071512;"	";Taxa Variável;4.985;1.25;EURIBOR1Y0;3.735;8027535126;113;EMP
22/03/2024;642944;Empréstimo;Papel Comercial;Prémio;EUR;400000;400000;25/03/2024;24/03/2025;PC0806_0007;GRUPADO - JPM 2020 - 7ª Emissão;PTN22FJM0001;1310000;NOVAFABRIL IMOBILIARIA,LDA//;418139.33;22/03/2024;4.485;418139.33;16843.67;PC0806;6226;507219457;"	";Taxa Variável;4.485;0.75;EURIBOR12M;3.735;7400070148;113;EMP
27/03/2024;643142;Empréstimo;Papel Comercial;Prémio;EUR;1500000;1500000;26/03/2024;25/03/2025;PC1078_0001;CICLO FAPRIL - 2024 - 1ª Emissão;PTC27HJM0007;1312000;CICLO FAPRIL-INDUSTRIAS METALURGICAS,SA//;1570252.00;27/03/2024;4.632;1570252.00;65041;PC1078;6245;500063575;"	";Taxa Variável;4.632;0.95;EURIBOR12M;3.682;8001339905;113;EMP
14/05/2024;645548;Empréstimo;Papel Comercial;Prémio;EUR;800000;800000;16/05/2024;15/05/2025;PC0986_0002;AMILCAR & MORGADO 2023 - 2ª Emissão;PTAM5BJM0004;1310000;AMILCAR & MORGADO - TRATAMENTO E COMERCIALIZACAO DE MEL E PRODUTOS API//;836302.93;14/05/2024;4.488;836302.93;28523.73;PC0986;6247;503580902;"	";Taxa Variável;4.488;0.85;EURIBOR12M;3.638;8042747893;113;EMP
20/05/2024;645901;Empréstimo;Papel Comercial;Prémio;EUR;5000000;5000000;16/05/2024;15/05/2025;PC1093_0001;INSPAUTO - 2024 - 1ª Emissão;PTI69AJM0007;1312000;INSPAUTO INSPECCAO VEICULOS LDA//;5226893.33;20/05/2024;4.488;5226893.33;178273.33;PC1093;6226;503041572;"	";Taxa Variável;4.488;0.85;EURIBOR12M;3.638;8042264407;113;EMP
22/05/2024;646025;Empréstimo;Papel Comercial;Prémio;EUR;350000;350000;24/05/2024;23/05/2025;PC0928_0006;BALANÇAS MARQUES JUNHO 2022 - 6ª Emissão;PTBQ1MJM0004;1312000;BALANCAS MARQUES DE JOSE PIMENTA MARQUES LDA//;365995.78;22/05/2024;4.52;365995.78;12216.56;PC0928;6707;502130326;"	";Taxa Variável;4.52;0.85;EURIBOR1Y0;3.67;8009555287;113;EMP
23/05/2024;646072;Empréstimo;Papel Comercial;Prémio;CHF;2100000;1514386.67;24/05/2024;23/05/2025;PC0924_0009;LAMEIRINHO 2022 - 9ª Emissão;PTLA1CJM0058;1312000;LAMEIRINHO - IND.TEXTIL, SA//;1534120.45;23/05/2024;2.2497;1534120.45;26059.03;PC0924;6246;500151539;"	";Taxa Variável;2.2497;0.6;IRCHSARO12M;1.6497;8002285436;113;EMP
27/05/2024;646241;Empréstimo;Papel Comercial;Prémio;EUR;3750000;1000000;27/05/2024;26/05/2025;PC1092_0001;METALOVIANA – METALURGICA DE VIANA, S - 1ª Emissão;PTM3VQJM0003;1312000;METALOVIANA – Metalurgica de Viana, SA//;1044003.56;27/05/2024;4.352;1044003.56;33244.44;PC1092;6707;501349197;"	";Taxa Variável;4.352;0.65;EURIBOR12M;3.702;1700192879;113;EMP
18/06/2024;647337;Empréstimo;Papel Comercial;Prémio;EUR;1500000;1500000;20/06/2024;19/06/2025;PC0991_0002;NOVARROZ - PRODUTOS ALIMENTARES SA -  - 2ª Emissão;PTN16ZJM0005;1312000;NOVARROZ - PRODUTOS ALIMENTARES SA//;1568553.33;18/06/2024;4.52;1568553.33;47271.67;PC0991;6226;503249734;"	";Taxa Variável;4.52;0.825;EURIBOR6M0;3.695;1700201103;113;EMP
24/06/2024;647637;Empréstimo;Papel Comercial;Prémio;EUR;1000000;1000000;21/06/2024;21/03/2025;PC1105_0001;JULIO SILVA SAMPAIO & CA,SA - 2024 - 1ª Emissão;PTJ60AJM0005;1312000;JULIO SILVA SAMPAIO & CA S.A.//;1035292.83;24/06/2024;4.654;1035292.83;32319.44;PC1105;6246;500742766;"	";Taxa Variável;4.654;1;EURIBOR6M;3.695;8005557137;113;EMP
25/06/2024;647704;Empréstimo;Papel Comercial;Prémio;EUR;1000000;250000;26/06/2024;13/03/2025;PC1069_0007;GRUPADO JAIME ALBERTO, LDA - 2024 - 7ª Emissão;PTC1QDJM0008;1312000;CENARIO ABERTO LDA//;257637.50;25/06/2024;4.23;257637.50;7196.88;PC1069;6247;508368456;"	";Taxa Variável;4.23;0.65;EURIBOR12M;3.58;5100665714;113;EMP
26/06/2024;647856;Empréstimo;Papel Comercial;Prémio;EUR;7000000;7000000;28/06/2024;26/06/2025;PC0993_0002;I-CHARGING MOBILIDADE ELECTRICA S.A.- - 2ª Emissão;PTI67BJM0008;1312000;I-CHARGING MOBILIDADE ELECTRICA S.A.//;7382985.17;26/06/2024;5.426;7382985.17;256378.5;PC0993;7103;515337919;"	";Taxa Variável;5.426;1.85;EURIBOR1Y0;3.576;7402249336;113;EMP
27/06/2024;647884;Empréstimo;Papel Comercial;Prémio;EUR;750000;750000;28/06/2024;27/06/2025;PC0829_0006;NEW DOOR -IMOBILIÁRIA E CONSTRUÇÃO,SA - 6ª Emissão;PTN10EJM0014;1312000;DTX GRUPO, S.A.//;781668.00;27/06/2024;4.176;781668.00;21141;PC0829;6707;506310787;"	";Taxa Variável;4.176;0.6;EURIBOR12M;3.576;7400115380;113;EMP
27/06/2024;647946;Empréstimo;Papel Comercial;Prémio;EUR;1500000;1500000;27/06/2024;24/06/2025;PC1106_0001;J.JUSTINO NEVES, SA - 2024 - 1ª Emissão;PTJ26DJM0005;;J. JUSTINO DAS NEVES, S.A. 29925//;1565175.08;27/06/2024;4.321;1565175.08;43930.17;PC1106;6594;500145318;"	";Taxa Variável;4.321;0.65;EURIBOR6M;3.671;29925;113;EMP
28/06/2024;648028;Empréstimo;Papel Comercial;Prémio;EUR;19500000;500000;28/06/2024;27/06/2025;PC0938_0018;GRUPADO VERACRUZ 2022 - 18ª Emissão;PTV38JJM0009;1310000;VERACRUZ AGRESTATE//;525459.78;28/06/2024;5.036;525459.78;16996.5;PC0938;5223;514342269;"	";Taxa Variável;5.036;1.46;EURIBOR12M;3.576;7401718897;113;EMP
01/07/2024;648095;Empréstimo;Papel Comercial;Prémio;EUR;4000000;1000000;02/07/2024;01/07/2025;PC1111_0001;DEVELOPMENT GROUP - 2024 - 1ª Emissão;PTD39AJM0009;1312000;DEVELOPMENT GROUP ADMINISTRACAO IMOBILIARIA S A//;1043760.89;01/07/2024;4.328;1043760.89;28733.11;PC1111;6245;500302189;"	";Taxa Variável;4.328;0.75;EURIBOR12M;3.578;2381000242;113;EMP
18/07/2024;649153;Empréstimo;Papel Comercial;Prémio;EUR;1500000;500000;19/07/2024;27/03/2025;PC0978_0003;Balbino & Faustino 2023 - 3ª Emissão;PTB24KJM0014;1312000;BALBINO & FAUSTINO, LDA//;516569.49;18/07/2024;4.753;516569.49;14655.08;PC0978;6594;501071512;"	";Taxa Variável;4.753;1.25;EURIBOR12M;3.503;8027535126;113;EMP
26/07/2024;649529;Empréstimo;Papel Comercial;Prémio;EUR;19500000;15000000;30/07/2024;29/07/2025;PC0938_0020;GRUPADO VERACRUZ 2022 - 20ª Emissão;PTV38KJM0006;1310000;VERACRUZ AGRESTATE//;15741043.33;26/07/2024;4.886;15741043.33;429560.83;PC0938;5223;514342269;"	";Taxa Variável;4.886;1.46;EURIBOR1Y0;3.426;7401718897;113;EMP
30/07/2024;649681;Empréstimo;Papel Comercial;Prémio;EUR;19500000;350000;01/08/2024;31/07/2025;PC0938_0021;GRUPADO VERACRUZ 2022 - 21ª Emissão;PTV38LJM0005;1310000;VERACRUZ AGRESTATE//;367220.23;30/07/2024;4.866;367220.23;9887.44;PC0938;5223;514342269;"	";Taxa Variável;4.866;1.46;EURIBOR1Y0;3.406;7401718897;113;EMP
30/07/2024;649697;Empréstimo;Papel Comercial;Prémio;EUR;19500000;1500000;01/08/2024;31/07/2025;PC0938_0022;GRUPADO VERACRUZ 2022 - 22ª Emissão;PTV39CJM0005;1312000;VERACRUZ HOLDING SGPS, LDA//;1573801.00;30/07/2024;4.866;1573801.00;42374.75;PC0938;5223;515797332;"	";Taxa Variável;4.866;1.46;EURIBOR1Y0;3.406;7401974163;113;EMP
07/08/2024;650160;Empréstimo;Papel Comercial;Prémio;EUR;19500000;450000;09/08/2024;08/08/2025;PC0938_0023;GRUPADO VERACRUZ 2022 - 23ª Emissão;PTV40GJM0008;1312000;VERACRUZ AGRO, S.A//;471166.60;07/08/2024;4.652;471166.60;11688.15;PC0938;5223;516484656;"	";Taxa Variável;4.652;1.46;EURIBOR1Y0;3.192;7402296772;113;EMP
08/08/2024;650252;Empréstimo;Papel Comercial;Prémio;EUR;4000000;4000000;12/08/2024;05/05/2025;PC1132_0001;JLS 2024 - 1ª Emissão;PTJ296JM0028;1312000;J.L.S.-TRANSPORTES INTERNACIONAIS,LDA//;4106459.11;08/08/2024;3.602;4106459.11;79244;PC1132;6247;502301422;"	";Taxa Variável;3.602;0.4;EURIBOR1Y0;3.202;8035997954;113;EMP
09/08/2024;650326;Empréstimo;Papel Comercial;Prémio;EUR;19500000;650000;13/08/2024;12/08/2025;PC0938_0024;GRUPADO VERACRUZ 2022 - 24ª Emissão;PTV38MJM0004;1310000;VERACRUZ AGRESTATE//;680468.82;09/08/2024;4.636;680468.82;16489.99;PC0938;5223;514342269;"	";Taxa Variável;4.636;1.46;EURIBOR1Y0;3.176;7401718897;113;EMP
12/08/2024;650342;Empréstimo;Papel Comercial;Prémio;EUR;19500000;500000;14/08/2024;13/08/2025;PC0938_0025;GRUPADO VERACRUZ 2022 - 25ª Emissão;PTVT1BJM0009;1312000;VERATECH, UNIPESSOAL, LDA//;523513.39;12/08/2024;4.651;523513.39;12661.06;PC0938;5223;516166417;"	";Taxa Variável;4.651;1.46;EURIBOR12M;3.191;7402089971;113;EMP
