CÓDIGO PROGRAMA;NOME PROGRAMA;AGENTE;AGENCY;MOEDA;MONTANTE;MONT. DISPONÍVEL;DATA INÍCIO;DATA FIM;DATA BREAK CLAUSE;DATA DENUNCIA;SPREAD;COMISSÃO AGENTE;PERIOCIDADE AGENTE;BASE CALCULO AGENTE;B.C. GARANTIA SUBS;COMISSÃO GARANTIA SUBS;PERIOCIDADE GARANTIA SUBS;BEI;CONVENANTS;ESTADO;Nº EMISSÕES VIVAS;Nº ALTERAÇÕES;TIPO TAXA;METODO COLOCACAO;TOMADA FIRME;INDICADOR INCLUIDO NO RELATORIO;INDICADOR INSC. INTERBOLSA;FUNDING BEI;LEI APLICAVEL
PC0003;AMORIM HOLDING II 2008;BANCO SANTANDER TOTTA;9411;EUR;20000000;0;19/02/2008;19/05/2025;;;0.45;0.025;Trimestral;Act/360;Act/360;0.225;Trimestral;Não;Sim;Validado BO;1;11;Taxa Variável;Colocacao directa da emissao;Sim;Sim;Nao;;PRT
PC0046;GRUPADO AUTO-SUECO (COIMBRA);BANCO SANTANDER TOTTA;7102;EUR;5000000;5000000;20/02/2012;20/02/2026;20/02/2026;06/01/2026;0.7;0.25;Anual;30/360;30/360;0.5;Anual;Não;Não;Validado BO;0;12;Taxa Variável;Colocacao directa da emissao;Sim;Sim;Nao;;PRT
PC0064;GRUPADO ENDUTEX;BANCO SANTANDER TOTTA;6246;EUR;13500000;6500000;03/08/2005;03/08/2027;04/08/2025;05/07/2025;0.65;0.05;Anual;Act/360;Act/360;0.1;Anual;Não;Não;Validado BO;2;10;Taxa Variável;Colocacao directa da emissao;Sim;Sim;Nao;;PRT
PC0068;GRUPADO GRAN CRUZ;BANCO SANTANDER TOTTA;7102;EUR;15000000;0;15/05/2009;15/05/2029;15/05/2025;15/04/2025;0.75;0.05;Semestral;Act/360;Act/360;0.2;Semestral;Não;Não;Validado BO;3;11;Taxa Variável;Colocacao directa da emissao;Sim;Sim;Nao;;PRT
PC0090;GRUPADO TAYLORS 2008;BANCO SANTANDER TOTTA;7102;EUR;2000000;2000000;08/05/2008;07/08/2025;07/08/2025;23/06/2025;0.5;0.15;Semestral;Act/360;Act/360;0.25;Semestral;Não;Não;Validado BO;0;12;Taxa Variável;Colocacao directa da emissao;Sim;Sim;Nao;;PRT
PC0109;J. SOARES CORREIA;BANCO SANTANDER TOTTA;6581;EUR;700000;0;01/08/2005;02/02/2026;;;1.33;0.1;Semestral;Act/360;Act/360;0.15;Semestral;Não;Não;Validado BO;1;11;Taxa Fixa;Colocacao directa da emissao;Sim;Sim;Nao;;PRT
PC0121;MALTIBÉRICA;BANCO SANTANDER TOTTA;7102;EUR;1500000;1500000;06/07/2009;06/07/2026;06/07/2025;06/06/2025;0.8;0.1;Anual;Act/360;Act/360;0.3;Anual;Não;Não;Validado BO;0;12;Taxa Variável;Colocacao directa da emissao;Sim;Sim;Nao;;PRT
PC0122;MANOEL POÇAS JR;BANCO SANTANDER TOTTA;6581;EUR;350000;0;13/12/2006;14/09/2026;13/03/2025;11/02/2025;1.5;0.1;Trimestral;Act/360;Act/360;0.4;Trimestral;Não;Não;Validado BO;1;12;Taxa Variável;Colocacao directa da emissao;Sim;Sim;Nao;;PRT
PC0136;REN SGPS 2008 I;BANCO SANTANDER TOTTA;9411;EUR;125000000;0;28/04/2008;28/04/2026;;;1.09;0.025;Anual;Act/360;Act/360;0.225;Anual;Não;Não;Validado BO;1;13;Taxa Fixa;Colocacao directa da emissao;Sim;Sim;Nao;;PRT
PC0138;SALVOR;BANCO SANTANDER TOTTA;9411;EUR;3000000;3000000;15/07/2008;15/07/2025;;;1.5;0.05;Semestral;30/360;30/360;1.45;Semestral;Não;Não;Validado BO;0;8;Taxa Variável;Colocacao directa da emissao;Sim;Sim;Nao;;PRT
PC0140;SANINDUSA 2010;BANCO SANTANDER TOTTA;6245;EUR;1600000;0;01/06/2010;24/03/2026;24/03/2026;22/02/2026;1.075;0.075;Semestral;Act/360;Act/360;0.2;Semestral;Não;Não;Validado BO;1;16;Taxa Variável;Colocacao directa da emissao;Sim;Sim;Nao;;PRT
PC0146;SONAE INVESTIMENTOS (exCARREFOUR);BANCO SANTANDER TOTTA;9411;EUR;30000000;30000000;20/07/2007;01/09/2025;;;0.35;0.01;Semestral;Act/360;Act/360;0.29;Semestral;Não;Não;Validado BO;0;14;Taxa Variável;Colocacao directa da emissao;Sim;Sim;Nao;;PRT
