c0010;c0020;c0030;c0040;c0050;c0060;c0070;c0080;c0090;c0100;c0110;c0120;c0130;c0140;c0150
1;31000000000000000962304890482490P_0000_00000000000_000006511000505;PT;FALSE;Counterparty;116640.00;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
2;31000304140330096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;2103828.94;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
3;31000307044893096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;25311693.18;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
4;31000307530917096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;8834903.86;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
5;31000311450813096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;11179650.16;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
6;31000311847794096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;1774604.15;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
7;31000313517171096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;1310673.08;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
8;31000315970006096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;6281.71;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
9;31000315970121096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;9875.82;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
10;31000315970139096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;11471.74;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
11;31000315970188096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;6518.32;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
12;31000315970212096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;10007.23;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
13;31000315970238096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;95305.07;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
14;31000315970261096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;37838.28;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
15;31000315970279096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;45249.83;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
16;31000315970311096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;769817.65;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
17;31000315970329096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;516329.98;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
18;31000315970345096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;924280.58;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
19;31000315970402096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;303081.48;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
20;31000315970428096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;89948.39;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
21;31000315970469096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;38676.21;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
22;31000315979890096000000000000000P_0000_00000000000_000006511000505;PT;FALSE;Counterparty;375137.21;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
23;31000318293090097000000000000000P_0000_00000000000_000008000176024;PT;FALSE;Counterparty;401152.40;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
24;31000318542009097000000000000000P_0000_00000000000_000006511000505;PT;FALSE;Counterparty;1002457.36;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
25;31000318628196097000000000000000P_0000_00000000000_000006511000505;PT;FALSE;Counterparty;100000.00;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
26;31000318628592097000000000000000P_0000_00000000000_000008000176024;PT;FALSE;Counterparty;501148.25;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
27;31000318629012097000000000000000P_0000_00000000000_000008000176024;PT;FALSE;Counterparty;150211.64;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
28;31000318636603097000000000000000P_0000_00000000000_000008000176024;PT;FALSE;Counterparty;200288.33;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
29;31000318637213097000000000000000P_0000_00000000000_000008000176024;PT;FALSE;Counterparty;250125.49;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
30;31000322311418096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;35510.30;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
31;89000020240000766001520240649824P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3445.76;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
32;89000020240000766001520240649825P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3505.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
33;89000020240000766001520240649826P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3505.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
34;89000020240000766001520240649827P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3505.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
35;89000020240000766001520240649839P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3715.54;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
36;89000020240000766001520240649873P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3218.68;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
37;89000020240000766001520240649874P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3036.86;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
38;89000020240000766001520240649875P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1561.44;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
39;89000020240000766001520240649894P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3765.91;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
40;89000020240000766001520240649898P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3967.00;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
41;89000020240000766001520240649899P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;3967.00;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
42;89000020240000766001520240649910P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1506.01;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
43;89000020240000766001520240649913P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1506.01;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
44;89000020240000766001520240649915P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1461.96;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
45;89000020240000766001520240649916P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;1461.96;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
46;89000020240000766001520240650004P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;4109.24;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
47;89000020240000766001520240650005P_0000_00000000000_000003461004226;PT;FALSE;Counterparty;4109.24;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
