c0010;c0011;c0020;c0030;c0040;c0050;c0060;c0070;c0080;c0090;c0100
1;B0200;PTBSRDOM0037;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;500000000.00
2;B0200;PTBSREOM0028;No;Not applicable;Not applicable;Not applicable;Not applicable;Non identified, not listed on an exchange platform;99;7686440.55
3;B0200;PTCPP0AM0007;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;1383690177.00
4;B0200;PTCPP0AM0007;No;Not applicable;Not applicable;Not applicable;Not applicable;Non identified, not listed on an exchange platform;99;1762761.00
5;B0200;PTSTOCOM0007;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;400000000.00
6;B0200;PTSTOEOM0021;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;609158104.11
7;B0200;PTSTOFOM0004;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;204520273.97
8;B0200;PTSTOGOM0003;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;300000000.00
9;B0200;PTSTOHOM0002;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;506901534.25
10;B0500;31000000000000000962304890482490P_0000_00000000000_000006511000505;Intragroup but not intra-resolution group;BANCO SANTANDER BRASIL S.A.;549300D1H731B30TSI43;LEI;6511000505;Institutions;BR;116640.00
11;B0500;31000304140330096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;2103828.94
12;B0500;31000307044893096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;25311693.18
13;B0500;31000307530917096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;8834903.86
14;B0500;31000311450813096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;11179650.16
15;B0500;31000311847794096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;1774604.15
16;B0500;31000313517171096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;1310673.08
17;B0500;31000315970006096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;6281.71
18;B0500;31000315970121096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;9875.82
19;B0500;31000315970139096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;11471.74
20;B0500;31000315970188096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;6518.32
21;B0500;31000315970212096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;10007.23
22;B0500;31000315970238096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;95305.07
23;B0500;31000315970261096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;37838.28
24;B0500;31000315970279096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;45249.83
25;B0500;31000315970311096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;769817.65
26;B0500;31000315970329096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;516329.98
27;B0500;31000315970345096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;924280.58
28;B0500;31000315970402096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;303081.48
29;B0500;31000315970428096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;89948.39
30;B0500;31000315970469096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;38676.21
31;B0500;31000315979890096000000000000000P_0000_00000000000_000006511000505;Intragroup but not intra-resolution group;BANCO SANTANDER BRASIL S.A.;549300D1H731B30TSI43;LEI;6511000505;Institutions;BR;375137.21
32;B0500;31000318293090097000000000000000P_0000_00000000000_000008000176024;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;8000176024;Institutions;ES;401152.40
33;B0500;31000318542009097000000000000000P_0000_00000000000_000006511000505;Intragroup but not intra-resolution group;BANCO SANTANDER BRASIL S.A.;549300D1H731B30TSI43;LEI;6511000505;Institutions;BR;1002457.36
34;B0500;31000318628196097000000000000000P_0000_00000000000_000006511000505;Intragroup but not intra-resolution group;BANCO SANTANDER BRASIL S.A.;549300D1H731B30TSI43;LEI;6511000505;Institutions;BR;100000.00
35;B0500;31000318628592097000000000000000P_0000_00000000000_000008000176024;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;8000176024;Institutions;ES;501148.25
36;B0500;31000318629012097000000000000000P_0000_00000000000_000008000176024;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;8000176024;Institutions;ES;150211.64
37;B0500;31000318636603097000000000000000P_0000_00000000000_000008000176024;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;8000176024;Institutions;ES;200288.33
38;B0500;31000318637213097000000000000000P_0000_00000000000_000008000176024;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;8000176024;Institutions;ES;250125.49
39;B0500;31000322311418096000000000000000P_0000_00000000000_000000000003686;Intragroup and intra-resolution group;BANCO SANTANDER SA;80H66LPTVDLM0P28XF25;LEI;0000003686;Institutions;ES;35510.30
40;B0500;89000020240000766001520240649824P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3445.76
41;B0500;89000020240000766001520240649825P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3505.95
42;B0500;89000020240000766001520240649826P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3505.95
43;B0500;89000020240000766001520240649827P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3505.95
44;B0500;89000020240000766001520240649839P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3715.54
45;B0500;89000020240000766001520240649873P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3218.68
46;B0500;89000020240000766001520240649874P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3036.86
47;B0500;89000020240000766001520240649875P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;1561.44
48;B0500;89000020240000766001520240649894P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3765.91
49;B0500;89000020240000766001520240649898P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3967.00
50;B0500;89000020240000766001520240649899P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3967.00
51;B0500;89000020240000766001520240649910P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;1506.01
52;B0500;89000020240000766001520240649913P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;1506.01
53;B0500;89000020240000766001520240649915P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;1461.96
54;B0500;89000020240000766001520240649916P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;1461.96
55;B0500;89000020240000766001520240650004P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;4109.24
56;B0500;89000020240000766001520240650005P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;4109.24
57;B0500;89000020240000766001520240650006P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;4109.24
58;B0500;89000020240000766001520240650007P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;4109.24
59;B0500;89000020240000766001520240650008P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;4109.24
