c0010;c0020;c0030;c0040;c0050;c0060;c0070;c0080;c0090;c0100;c0110;c0120;c0130;c0140;c0150
1;31000000000000000962304890482490P_0000_00000000000_000006511000505;PT;FALSE;Counterparty;116640.00;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
2;31000304140330096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;1658832.03;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
3;31000307044893096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;25373966.31;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
4;31000307530917096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;8856965.18;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
5;31000311450813096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;11128194.24;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
6;31000311847794096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;1640233.97;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
7;31000313517171096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;1249741.19;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
8;31000315970006096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;4985.38;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
9;31000315970121096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;7837.78;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
10;31000315970139096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;9104.34;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
11;31000315970188096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;5173.13;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
12;31000315970212096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;7942.06;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
13;31000315970238096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;75637.34;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
14;31000315970261096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;30029.74;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
15;31000315970279096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;35911.80;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
16;31000315970311096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;610953.34;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
17;31000315970329096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;409776.95;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
18;31000315970345096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;733540.34;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
19;31000315970402096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;240535.71;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
20;31000315970428096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;71386.10;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
21;31000315970469096000000000000000P_0000_00000000000_000000000003686;PT;FALSE;Counterparty;30694.73;Unsecured;999999999999999.00;Default;0001-01-01;Not applicable;Not applicable;Not applicable;0001-01-01;Not applicable
