0010;0020;0021;0030;0040;0045;0050;0053;0055;0057;0060;0070;0080;0090;0100;0110;0120;0130;0140;0150;0160;0170;0175;0180;0190
1;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);000000000000000;GESBAN SERVICIOS A. GLOBALES SA - SUC PORTUGAL;7400760971;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);671676,95;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
2;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);000000000000000;Portal Universia;8046273535;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);54615,88;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
3;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);000000000000000;GEOBAN SA SUCURSAL EM PORTUGAL;7400315551;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1534356,35;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
4;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);000000000000000;ISBAN - SUC PORTUGAL;7400456469;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);6857006,73;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
5;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);000000000000000;TottaUrbe;8000391312;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);37572080,06;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
6;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);000000000000000;CONSULTEAM-CONSULTORES GESTAO,SA;5100262318;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);983570,28;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
7;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);000000000000000;Taxageste;8044901277;Type of identifier, other than LEI or MFI code;Sister;true;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);13753406,77;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
8;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);000000000000000;IBERICA DE COMPRAS CORPORATIVAS - SUC EM PORTUGAL;7400939384;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1012164,57;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
9;r0320 - Deposits, not covered and not preferential;c003x   - Corporates;Rank 12 - Ranking in insolvency (master scale);000000000000000;RETAMA REAL ESTATE;7400886823;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
10;r0320 - Deposits, not covered and not preferential;c002x   - Micro & SME;Rank 12 - Ranking in insolvency (master scale);000000000000000;CCPT - COMPRARCASA REDE SERVICOS IMOBILIARIOS, S.A;1700210720;Type of identifier, other than LEI or MFI code;Sister;false;PORTUGAL;Not applicable (Contractual recognition of bail-in powers);1834,98;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;N/A;Non-structured/Vanilla;0;No;0
