0010;0020;0030;0035;0040;0045;0047;0050;0060;0070;0080;0090;0100
1;Rank 9 - Ranking in insolvency (master scale);962304820228590;BANCO SANTANDER BRASIL S.A.;6511003239;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;35000;No;0;Default
2;Rank 9 - Ranking in insolvency (master scale);962304820286550;BANCO SANTANDER BRASIL S.A.;6511000505;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;28371504,11;No;0;Default
3;Rank 9 - Ranking in insolvency (master scale);962304820286560;BANCO SANTANDER BRASIL S.A.;6511000505;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;4932235,467;No;0;Default
4;Rank 9 - Ranking in insolvency (master scale);962304820307850;BANCO SANTANDER BRASIL S.A.;6511000505;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;9979936,209;No;0;Default
5;Rank 9 - Ranking in insolvency (master scale);962304820307860;BANCO SANTANDER BRASIL S.A.;6511000505;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;20296594,12;No;0;Default
6;Rank 9 - Ranking in insolvency (master scale);962304820340060;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;12707,5;No;0;Default
7;Rank 9 - Ranking in insolvency (master scale);962304820340070;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;12970;No;0;Default
8;Rank 9 - Ranking in insolvency (master scale);962304820340080;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;182159,86;No;0;Default
9;Rank 9 - Ranking in insolvency (master scale);962304820340090;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;93990,5;No;0;Default
10;Rank 9 - Ranking in insolvency (master scale);962304820340110;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;56790;No;0;Default
11;Rank 9 - Ranking in insolvency (master scale);962304820340120;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;78200;No;0;Default
12;Rank 9 - Ranking in insolvency (master scale);962304820340130;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;126698,5;No;0;Default
13;Rank 9 - Ranking in insolvency (master scale);962304820340140;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;36816,75;No;0;Default
14;Rank 9 - Ranking in insolvency (master scale);962304820340160;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;18394;No;0;Default
15;Rank 9 - Ranking in insolvency (master scale);962304820340170;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;37043,65;No;0;Default
16;Rank 9 - Ranking in insolvency (master scale);962304820340410;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;30343,3;No;0;Default
17;Rank 9 - Ranking in insolvency (master scale);962304820340420;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;7000;No;0;Default
18;Rank 9 - Ranking in insolvency (master scale);962304820340440;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;74837,5;No;0;Default
19;Rank 9 - Ranking in insolvency (master scale);962304820341100;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;5194;No;0;Default
20;Rank 9 - Ranking in insolvency (master scale);962304820341340;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;43699;No;0;Default
21;Rank 9 - Ranking in insolvency (master scale);962304820346880;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;12143,8;No;0;Default
22;Rank 9 - Ranking in insolvency (master scale);962304820354640;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;100602,5;No;0;Default
23;Rank 9 - Ranking in insolvency (master scale);962304820358740;BANCO SANTANDER PARIS;7400416227;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;95602,5;No;0;Default
24;Rank 9 - Ranking in insolvency (master scale);962304820151190;BANCO SANTANDER S.A.  SUCURSAL FRANKFURT;0000046859;Type of identifier, other than LEI or MFI code;False;PORTUGAL;Counterparty;176462;No;0;Default
