0010;0020;0030;0040;0050;0055;0060;0065;0070;0075;0080;0090;0100;0110;0120;0130;0140;0150;0160;0170;0180;0190;0200;0205;0210;0220
1;r0180 - Critical service liabilities (BRRD art. 44/2/g/ii);c001x   - Households;Rank 9 - Ranking in insolvency (master scale);CSLDEZ20;Critical Service Liability December 2021;CSL001;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);4137337,41;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
2;r0190 - Tax and social security authorities liabilities, if preferred (BRRD art. 44/2/g/iii);c008x   - Government, central banks & supranationals;Rank 16 - Ranking in insolvency (master scale);TLDEZ21;Tax Liability December 2021;TL001;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);77688844,43;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
3;r0190 - Tax and social security authorities liabilities, if preferred (BRRD art. 44/2/g/iii);c008x   - Government, central banks & supranationals;Rank 16 - Ranking in insolvency (master scale);TLDEZ21;Tax Liability December 2021;TL001;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);275620223,8;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
4;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);ING BANK NV;ING BANK NV;0000000529;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);65;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
5;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);CAIXA DE CREDITO AGRICOLA MUTUO DO RIBATEJO NORTE, CRL;CAIXA DE CREDITO AGRICOLA MUTUO DO RIBATEJO NORTE, CRL;0000052505;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);76511,63;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
6;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO SANTANDER TOTTA, S.A.;BANCO SANTANDER TOTTA, S.A.;0000066733;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1,94;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
7;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);FCE BANK PLC;FCE BANK PLC;0000069838;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1527902,74;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
8;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANCO SANTANDER TOTTA, S.A.;BANCO SANTANDER TOTTA, S.A.;0000072353;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);76951,01;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
9;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);NOVO BANCO, SA;NOVO BANCO, SA;2100022284;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);35761,56;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
10;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);COFIDIS;COFIDIS;2100150050;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1053010,34;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
11;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BISON BANK, S.A.;BISON BANK, S.A.;2100177200;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);639392,04;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
12;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BISON BANK, S.A.;BISON BANK, S.A.;2100177200;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);2142,177291;0;0;US Dollar;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
13;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BISON BANK, S.A.;BISON BANK, S.A.;2100177200;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);0,29752;0;0;Pound Sterling;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
14;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANIF BANCO INTERNACIONAL DO FUNCHAL CAYMAN LTD;BANIF BANCO INTERNACIONAL DO FUNCHAL CAYMAN LTD;2100365738;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);56335,45961;0;0;Pound Sterling;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
15;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANIF BANCO INTERNACIONAL DO FUNCHAL CAYMAN LTD;BANIF BANCO INTERNACIONAL DO FUNCHAL CAYMAN LTD;2100365738;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1087439,979;0;0;US Dollar;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
16;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANIF BANCO INTERNACIONAL DO FUNCHAL CAYMAN LTD;BANIF BANCO INTERNACIONAL DO FUNCHAL CAYMAN LTD;2100365738;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);413379,27;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
17;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);MONTEPIO GERAL;MONTEPIO GERAL;2100368533;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);1129,71;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
18;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);SCHRODER SECURITIES LONDON;SCHRODER SECURITIES LONDON;2100554927;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);0,01;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
19;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);WICANDER A B;WICANDER A B;2100567112;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);196,62;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
20;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);NATWEST SECURITIES LIMITED;NATWEST SECURITIES LIMITED;2100592678;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);44425,17;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
21;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);CAIXA DE CREDITO AGRICOLA MUTUO DE TORRES VEDRAS, C.R.L;CAIXA DE CREDITO AGRICOLA MUTUO DE TORRES VEDRAS, C.R.L;2100643088;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);924330,8;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
22;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANIF INTERNATIONAL BANK LTD - LIQUIDATION TRUSTEE ACCOUNT;BANIF INTERNATIONAL BANK LTD - LIQUIDATION TRUSTEE ACCOUNT;549300L5RVCMYDNX9E40;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);458297,57;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
23;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);BANIF INTERNATIONAL BANK LTD - LIQUIDATION TRUSTEE ACCOUNT;BANIF INTERNATIONAL BANK LTD - LIQUIDATION TRUSTEE ACCOUNT;549300L5RVCMYDNX9E40;LEI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);177222,1791;0;0;US Dollar;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
24;r0150 - Institution liabilities < 7 days (BRRD art. 44/2/e);c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);NATEXIS BANQUES POPULAIRES;NATEXIS BANQUES POPULAIRES;3311000078;Type of identifier, other than LEI or MFI code;PORTUGAL;Financial liabilities other than debt securities issued, deposits, promissory notes, registered notes, bills of exchange, silent partnership contributions;Not applicable (Contractual recognition of bail-in powers);4045,3;0;0;Euro;2021-12-31;2022-01-03;2022-01-03;Unsecured;0;0;0;Non-structured/Vanilla;0;No;0
