0010;0020;0030;0040;0050;0061;0071;0075;0080;0085;0090;0095;0100;0110;0120;0130;0140;0150
1;c002x   - Micro & SME;Rank 9 - Ranking in insolvency (master scale);00EEQB;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;EXPO ATLANTICO EAII INVESTIMENTOS IMOBILIARIOS SA;254900AH3QT50IRTWM64;LEI code;PORTUGAL;FALSE;PORTUGAL;2;6773,27;0;0;6773,27
2;c002x   - Micro & SME;Rank 9 - Ranking in insolvency (master scale);00ETUW;Other MA;No resolution stay recognition;Yes - ISDA Universal Protocol;EIFCITYLIS, S.A.;7401588953;Type of identifier, other than LEI or MFI code;PORTUGAL;FALSE;UNITED KINGDOM;2;20967,99;0;0;20967,99
3;c002x   - Micro & SME;Rank 9 - Ranking in insolvency (master scale);CQ_BSP_MWCS;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;MADEIRA WINE COMPANY S.A.;549300Q571IOUBKZYR69;LEI code;PORTUGAL;FALSE;PORTUGAL;2;308,52;0;0;308,52
4;c002x   - Micro & SME;Rank 9 - Ranking in insolvency (master scale);00EPHX;Other MA;Yes - ISDA Universal Protocol;Yes - Other Agreement for resolution stay recognition;EXPO PACIFICO EPII INVESTIMENTOS IMOBILIARIOS SA;2549006IWGF4UVKRSJ88;LEI code;PORTUGAL;FALSE;PORTUGAL;2;96360,75;0;0;96360,75
5;c002x   - Micro & SME;Rank 9 - Ranking in insolvency (master scale);0000055162;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;FORTUNATO O. FREDERICO & CA.,LDA;549300JGTWUQ278H4770;LEI code;PORTUGAL;FALSE;PORTUGAL;8;7694,81;0;0;7694,81
6;c002x   - Micro & SME;Rank 9 - Ranking in insolvency (master scale);00EIEU;Other MA;Yes - ISDA Universal Protocol;Yes - Other Agreement for resolution stay recognition;EXPO INDICO EIII INVESTIMENTOS IMOBILIARIOS SA;254900ZAN32N0SOT0L39;LEI code;PORTUGAL;FALSE;PORTUGAL;2;5256,05;0;0;5256,05
7;c002x   - Micro & SME;Rank 9 - Ranking in insolvency (master scale);00E0E1;Other MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;CITY MARQUES, S.A.;7401589376;Type of identifier, other than LEI or MFI code;PORTUGAL;FALSE;UNITED KINGDOM;2;9575,93;0;0;9575,93
9;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);WEM8;Other MA;No resolution stay recognition;Yes - Other Agreement for resolution stay recognition;WARTA - RETAIL & SERVICES INVESTMENTS B.V.;72450083E3RFH9LVZI47;LEI code;NETHERLANDS;FALSE;UNITED KINGDOM;2;42440,8;0;0;42440,8
10;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);208E;ISDA 1992 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;NORTE SHOPPING RETAIL & LEISURE CENTRE B V;7401870046;Type of identifier, other than LEI or MFI code;NETHERLANDS;FALSE;UNITED KINGDOM;2;35831,31;0;0;35831,31
11;c003x   - Corporates;Rank 9 - Ranking in insolvency (master scale);ZYJL;ISDA 1992 MA;Yes - ISDA Universal Protocol;Yes - ISDA Universal Protocol;SHOPPING CENTRE COLOMBO HOLDING B.V.;549300VHO3DME0N4ZW85;LEI code;NETHERLANDS;FALSE;UNITED KINGDOM;2;81847,58;0;0;81847,58
