0010;0020;0030;0040;0050;0060;0065;0070;0080;0090;0100;0110;0120;0130;0140
1;r0390 - Non-financial liabilities;c010x   - Non-identified, not listed on an exchange platform;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;9866,325268;US Dollar;2021-12-31;2099-01-31;No;0
2;r0390 - Non-financial liabilities;c010x   - Non-identified, not listed on an exchange platform;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;226848,4019;US Dollar;2021-12-31;2099-01-31;No;0
3;r0390 - Non-financial liabilities;c005x   - Other financial corporations;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;9086537,092;US Dollar;2021-12-31;2099-01-31;No;0
4;r0390 - Non-financial liabilities;c005x   - Other financial corporations;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;211769,3802;US Dollar;2021-12-31;2099-01-31;No;0
5;r0390 - Non-financial liabilities;c005x   - Other financial corporations;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Provisions. Off-balance sheet exposures subject to credit risk;0,679852;US Dollar;2021-12-31;2099-01-31;No;0
6;r0390 - Non-financial liabilities;c010x   - Non-identified, not listed on an exchange platform;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;67,46335;Canadian Dollar;2021-12-31;2099-01-31;No;0
7;r0170 - Employee liabilities (BRRD art. 44/2/g/i);c001x   - Households;Rank 17 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Provisions. Employee benefits. Other than pension and other post-employment defined benefit obligations;131452768,8;Euro;2021-12-31;2099-01-31;No;0
8;r0170 - Employee liabilities (BRRD art. 44/2/g/i);c001x   - Households;Rank 17 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Provisions. Employee benefits. Pension and other post-employment defined benefit obligations;14268164;Euro;2021-12-31;2099-01-31;No;0
9;r0170 - Employee liabilities (BRRD art. 44/2/g/i);c001x   - Households;Rank 17 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Provisions. Restructuring;87204175,79;Euro;2021-12-31;2099-01-31;No;0
10;r0390 - Non-financial liabilities;c010x   - Non-identified, not listed on an exchange platform;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;261752479,5;Euro;2021-12-31;2099-01-31;No;0
11;r0390 - Non-financial liabilities;c010x   - Non-identified, not listed on an exchange platform;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Provisions. Funds for general banking risks;14514835,65;Euro;2021-12-31;2099-01-31;No;0
12;r0390 - Non-financial liabilities;c010x   - Non-identified, not listed on an exchange platform;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Provisions. Pending legal issues and tax litigation;19770280,4;Euro;2021-12-31;2099-01-31;No;0
13;r0390 - Non-financial liabilities;c010x   - Non-identified, not listed on an exchange platform;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;11393513,64;Euro;2021-12-31;2099-01-31;No;0
14;r0390 - Non-financial liabilities;c010x   - Non-identified, not listed on an exchange platform;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;5630818,6;Euro;2021-12-31;2099-01-31;No;0
15;r0390 - Non-financial liabilities;c008x   - Government, central banks & supranationals;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;37199,8;Euro;2021-12-31;2099-01-31;No;0
16;r0390 - Non-financial liabilities;c004x   - Institutions;Rank 9 - Ranking in insolvency (master scale);0;0;Type of identifier, other than LEI or MFI code;PORTUGAL;Liabilities other than financial liabilities, provisions, tax liabilities, deferred income;11945,99;Euro;2021-12-31;2099-01-31;No;0
