0010;0020;0025;0030;0040;0050;0060;0070
SONAE;0000001124;Type of identifier, other than LEI or MFI code;2 - Exposures to groups of connected clients;PORTUGAL;Non-financial corporations;OBS.02 - Financial guarantees received;1506904903
GALPENERGIA;8046324613;Type of identifier, other than LEI or MFI code;2 - Exposures to groups of connected clients;PORTUGAL;Non-financial corporations;OBS.02 - Financial guarantees received;770000000
ESTADO-RAM;8046435017;Type of identifier, other than LEI or MFI code;2 - Exposures to groups of connected clients;PORTUGAL;Non-financial corporations;OBS.02 - Financial guarantees received;689851997,3
CS MADEIRA;5100288107;Type of identifier, other than LEI or MFI code;2 - Exposures to groups of connected clients;PORTUGAL;Non-financial corporations;OBS.02 - Financial guarantees received;518094308,8
ALTRI;8028841075;Type of identifier, other than LEI or MFI code;2 - Exposures to groups of connected clients;PORTUGAL;Non-financial corporations;OBS.02 - Financial guarantees received;413000000
BARRAQUEIRO;8029429834;Type of identifier, other than LEI or MFI code;2 - Exposures to groups of connected clients;PORTUGAL;Non-financial corporations;OBS.02 - Financial guarantees received;376140433,5
VIOLAS;7400154445;Type of identifier, other than LEI or MFI code;2 - Exposures to groups of connected clients;PORTUGAL;Non-financial corporations;OBS.02 - Financial guarantees received;361350004
SANTANDER;0000003686;Type of identifier, other than LEI or MFI code;2 - Exposures to groups of connected clients;PORTUGAL;Non-financial corporations;OBS.02 - Financial guarantees received;300000000
BBI GLASS;7400934390;Type of identifier, other than LEI or MFI code;2 - Exposures to groups of connected clients;PORTUGAL;Non-financial corporations;OBS.02 - Financial guarantees received;238500000
FUNDO DE RESOLUCAO;7401230009;Type of identifier, other than LEI or MFI code;1 - Exposures to individual clients;PORTUGAL;Non-financial corporations;OBS.02 - Financial guarantees received;199539110,2
