informing_soc|counterparty_soc|adjustment_code|comb_code|amount|eu|chro|acut|geo|cnael|nace
00411|00000|BI00411|CONT1;HFS1;B01;MC1005;ORIG4;TYVA01;MESG4|71745158|EU1|CHRO2|ACUT2|GEO3||
00411|00000|BI00411|CONT1;HFS1;B01;MC1005;ORIG4;TYVA02|-20527578|EU1|CHRO2|ACUT2|GEO3||
00411|00000|BI00411|CONT1;HFS2;B01;MC06;ACPF3;SC0302;TYVA01;MESG4|11909667|EU1|CHRO2|ACUT2|GEO3||
00411|00000|BI00411|CONT1;HFS2;B01;MC06;ACPF5;SC0302;TYVA01;MESG4|170043082|EU1|CHRO2|ACUT2|GEO3||
00411|00000|BI00411|CONT1;HFS2;B01;MC06;ACPF5;SC0302;TYVA01;MESG4|2605443|EU2|CHRO2|ACUT2|GEO2||
00411|00000|BI00411|CONT1;HFS2;B01;MC06;ACPF5;SC0303;TYVA01;EXC2;MESG4|35578|EU1|CHRO2|ACUT2|GEO3|CNAEL3|NACE03200302
00411|00000|BI00411|CONT1;HFS2;B01;MC06;ACPF5;SC0303;TYVA01;EXC2;MESG4|131176|EU1|CHRO2|ACUT2|GEO18|CNAEL11|NACE12010101
00411|00000|BI00411|CONT1;HFS2;B01;MC06;ACPF5;SC0303;TYVA01;EXC2;MESG4|22684|EU1|CHRO2|ACUT2|GEO3|CNAEL18|NACE19010303
00411|01333|BI00411|CONT1;HFS2;B01;MC08;TYVA01;INVS4;MESG4|88723411|EU1|CHRO2|ACUT2|GEO3||
00411|03162|BI00411|CONT1;HFS2;B01;MC08;TYVA01;INVS4;MESG4|7932813|EU1|CHRO2|ACUT2|GEO3||
00411|00421|BI00411|CONT1;HFS2;B01;MC08;TYVA01;INVS4;MESG4|450662960|EU1|CHRO2|ACUT2|GEO18||
00411|00683|BI00411|CONT1;HFS2;B01;MC08;TYVA01;INVS5;EXC2;MESG4|133078|EU1|CHRO2|ACUT2|GEO3|CNAEL10|NACE10050104
00411|00442|BI00411|CONT1;HFS2;B01;MC08;TYVA01;INVS5;EXC2;MESG4|99962303|EU1|CHRO2|ACUT2|GEO3|CNAEL6|NACE06010101
00411|00442|BI00411|CONT1;HFS2;B01;MC08;TYVA02;INVS5;EXC2|-11000000|EU1|CHRO2|ACUT2|GEO3|CNAEL6|NACE06010101
