INSTRMNT_ID_LOC;AMOUNT;DECISION_COL;NACE_LEVEL4;CNAE_LEVEL1;CNAEL;NACE;;;
SNCS00000020;18778,34;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000197;-1491362,73;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000021;-0,01;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;Etiquetas de fila;Suma de AMOUNT
SNCS00000123;1808279,71;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;ACCMLTD_IMPRMNT_INSTRMNT;-8.796.255,87
329440013200000001;6285,14;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;GRSS_CRRYNG_AMNT_INSTRMNT;612.961,95
SNCS00000199;535048,46;ACCMLTD_IMPRMNT_INSTRMNT;;;ERROR;ERROR;;Total general;-8.183.293,92
SNCS00000051;4019,28;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000160;-631,72;ACCMLTD_IMPRMNT_INSTRMNT;;;ERROR;ERROR;;;
329323157611430770;-0,2;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000017;3464,02;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000168;-3,96;ACCMLTD_IMPRMNT_INSTRMNT;;;ERROR;ERROR;;;
329440611430002081;14303,32;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000047;1012,94;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000177;-9282557,47;ACCMLTD_IMPRMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000198;2715022,03;ACCMLTD_IMPRMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000179;-6,99;ACCMLTD_IMPRMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000140;-22,38;ACCMLTD_IMPRMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000018;-0,01;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000200;-122401,24;ACCMLTD_IMPRMNT_INSTRMNT;;;ERROR;ERROR;;;
329323157611570166;1,2;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
329440611430000894;477,25;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
329441031430000825;824,25;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
329440111430000551;8531,81;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000019;109950,13;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000054;71184,96;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
329440611430000892;2090,93;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000097;-2456934,73;ACCMLTD_IMPRMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000165;22,38;ACCMLTD_IMPRMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000053;35888,9;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000161;631,72;ACCMLTD_IMPRMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000098;1396601,11;ACCMLTD_IMPRMNT_INSTRMNT;;;ERROR;ERROR;;;
329323157610140223;-17,31;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000144;332500,05;ACCMLTD_IMPRMNT_INSTRMNT;;;ERROR;ERROR;;;
329323157615221518;-10,6;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
329440611430002292;105,19;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000055;19155,44;GRSS_CRRYNG_AMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000099;-1488957,6;ACCMLTD_IMPRMNT_INSTRMNT;;;ERROR;ERROR;;;
SNCS00000176;-424565,53;ACCMLTD_IMPRMNT_INSTRMNT;;;ERROR;ERROR;;;
